日付,終値(電気機器),終値(輸送用機器),終値(情報 - 通信業),終値(卸売業),終値(銀行業),終値(化学),終値(小売業)
2003-07-04,1549.95,1521.17,2030.76,507.94,167.6,769.24,578.99
2003-07-03,1564.93,1537.48,2046.01,500.23,166.24,778.52,575.3
2003-07-02,1529.96,1497.32,2015.39,499.68,167.35,776.76,567.97
2003-07-01,1470.33,1472.0,1894.49,487.76,158.87,758.9,554.78
2003-06-30,1427.68,1473.84,1861.42,480.83,156.42,758.19,545.85
2003-06-27,1414.6,1476.39,1870.1,477.47,155.15,761.25,549.54
2003-06-26,1372.21,1444.57,1835.88,470.02,153.97,744.66,544.08
2003-06-25,1365.6,1429.55,1854.49,470.83,152.05,737.22,547.45
2003-06-24,1366.68,1425.12,1852.24,465.73,150.84,734.36,550.12
2003-06-23,1398.03,1479.65,1914.98,472.72,153.9,750.49,559.96
2003-06-20,1402.1,1475.49,1922.01,461.96,151.53,743.36,559.0
2003-06-19,1412.99,1484.3,1903.86,458.36,150.32,736.34,556.49
2003-06-18,1409.82,1459.86,1883.21,459.68,152.76,741.0,558.21
2003-06-17,1404.78,1429.63,1850.52,455.55,149.86,738.95,558.91
2003-06-16,1359.73,1400.6,1820.56,452.91,148.29,727.92,556.14
2003-06-13,1390.71,1416.63,1854.51,458.21,150.5,728.98,558.55
2003-06-12,1384.25,1411.29,1806.27,459.23,149.64,727.76,556.47
2003-06-11,1389.4,1410.87,1807.98,459.36,148.08,723.73,554.53
2003-06-10,1372.7,1397.0,1802.37,453.72,146.15,722.49,554.89
2003-06-09,1393.44,1406.32,1822.97,454.71,146.9,727.05,554.43
2003-06-06,1371.59,1386.61,1842.33,445.96,144.4,724.84,553.29
2003-06-05,1352.21,1366.51,1807.13,441.99,142.89,715.65,548.58
2003-06-04,1332.73,1354.28,1808.15,436.66,139.07,712.53,539.4
2003-06-03,1337.71,1341.67,1803.57,435.87,137.88,711.65,542.57
2003-06-02,1341.52,1339.81,1778.92,436.05,138.11,708.65,540.45
2003-05-30,1295.56,1330.49,1722.74,432.04,136.54,706.66,541.07
2003-05-29,1280.5,1287.29,1762.26,433.15,135.59,705.23,536.41
2003-05-28,1246.48,1260.78,1720.27,430.27,135.64,695.83,532.24
2003-05-27,1225.68,1250.27,1730.3,423.94,134.44,693.56,526.67
2003-05-26,1242.08,1268.84,1773.56,430.77,137.46,702.62,534.28
2003-05-23,1237.37,1269.88,1811.75,428.51,136.37,698.38,526.74
2003-05-22,1205.24,1259.05,1791.21,421.01,136.49,688.11,522.34
2003-05-21,1199.87,1252.64,1757.85,420.23,134.04,684.88,522.09
2003-05-20,1211.65,1267.54,1764.67,422.5,132.59,688.61,528.39
2003-05-19,1209.74,1254.52,1739.37,424.83,132.94,682.44,524.48
2003-05-16,1221.41,1256.15,1769.16,429.37,136.93,689.33,532.38
