Date,Price,Open,High,Low,Vol.,Change %
2018-02-05,"1,823.74","1,837.56","1,842.17","1,821.01",1.88B,-2.17%
2018-02-06,"1,743.41","1,788.85","1,790.08","1,707.07",3.16B,-4.40%
2018-02-07,"1,749.91","1,775.42","1,803.91","1,749.58",2.34B,0.37%
2018-02-08,"1,765.69","1,758.84","1,772.38","1,752.70",1.82B,0.90%
2018-02-09,"1,731.97","1,733.02","1,733.53","1,708.10",2.14B,-1.91%
2018-02-13,"1,716.78","1,751.23","1,751.23","1,713.96",1.96B,-0.88%
2018-02-14,"1,702.72","1,719.16","1,725.50","1,691.65",1.84B,-0.82%
2018-02-15,"1,719.27","1,719.83","1,728.12","1,712.23",1.57B,0.97%
2018-02-16,"1,737.37","1,729.17","1,747.60","1,725.31",1.43B,1.05%
2018-02-19,"1,775.15","1,753.15","1,775.15","1,750.13",1.29B,2.17%
2018-02-20,"1,762.45","1,767.96","1,768.28","1,752.75",1.24B,-0.72%
2018-02-21,"1,761.61","1,764.67","1,772.31","1,753.02",1.38B,-0.05%
2018-02-22,"1,746.17","1,749.85","1,750.33","1,737.58",1.35B,-0.88%
2018-02-23,"1,760.53","1,749.75","1,761.02","1,747.51",1.20B,0.82%
2018-02-26,"1,774.81","1,774.76","1,779.73","1,768.81",1.24B,0.81%
2018-02-27,"1,790.34","1,790.62","1,794.92","1,785.28",1.33B,0.88%
2018-02-28,"1,768.24","1,783.88","1,791.58","1,768.24",1.54B,-1.23%
2018-03-01,"1,740.20","1,754.43","1,754.53","1,735.56",1.52B,-1.59%
2018-03-02,"1,708.34","1,711.46","1,714.78","1,700.65",1.60B,-1.83%
2018-03-05,"1,694.79","1,697.11","1,704.94","1,687.29",1.51B,-0.79%
2018-03-06,"1,716.30","1,718.97","1,728.47","1,714.47",1.29B,1.27%
2018-03-07,"1,703.96","1,705.63","1,722.88","1,702.97",1.47B,-0.72%
2018-03-08,"1,709.95","1,720.00","1,720.00","1,704.96",1.23B,0.35%
2018-03-09,"1,715.48","1,726.99","1,741.16","1,707.51",1.75B,0.32%
2018-03-12,"1,741.30","1,740.67","1,746.39","1,733.06",1.25B,1.51%
2018-03-13,"1,751.03","1,734.31","1,751.03","1,731.58",1.22B,0.56%
2018-03-14,"1,743.21","1,738.72","1,746.46","1,737.81",1.16B,-0.45%
2018-03-15,"1,743.60","1,737.57","1,745.70","1,727.44",1.17B,0.02%
2018-03-16,"1,736.63","1,747.27","1,747.27","1,733.82",1.39B,-0.40%
2018-03-19,"1,719.97","1,729.60","1,735.12","1,714.00",1.21B,-0.96%
2018-03-20,"1,716.29","1,708.03","1,716.45","1,702.40",1.18B,-0.21%
2018-03-22,"1,727.39","1,711.02","1,727.86","1,710.95",1.39B,0.65%
2018-03-23,"1,664.94","1,696.34","1,696.34","1,661.23",1.91B,-3.62%
2018-03-26,"1,671.32","1,649.60","1,671.32","1,645.16",1.58B,0.38%
2018-03-27,"1,717.13","1,687.19","1,717.13","1,685.65",1.64B,2.74%
2018-03-28,"1,699.56","1,683.56","1,699.69","1,677.08",1.41B,-1.02%
2018-03-29,"1,704.00","1,713.31","1,714.23","1,688.71",1.32B,0.26%
2018-03-30,"1,716.30","1,718.03","1,721.04","1,708.27",1.14B,0.72%
2018-04-02,"1,708.78","1,716.32","1,723.82","1,708.78",956.73M,-0.44%
2018-04-03,"1,703.80","1,690.35","1,707.81","1,687.00",1.31B,-0.29%
2018-04-04,"1,706.13","1,710.04","1,711.88","1,699.48",1.52B,0.14%
2018-04-05,"1,724.61","1,719.81","1,732.32","1,711.94",1.55B,1.08%
2018-04-06,"1,719.30","1,723.59","1,732.15","1,719.30",1.47B,-0.31%
2018-04-09,"1,725.88","1,716.28","1,730.55","1,715.55",1.39B,0.38%
2018-04-10,"1,731.94","1,720.97","1,742.40","1,717.77",1.47B,0.35%
2018-04-11,"1,725.30","1,735.73","1,735.73","1,725.30",1.53B,-0.38%
2018-04-12,"1,718.52","1,723.51","1,725.48","1,717.52",1.31B,-0.39%
